Common.Name,Latin.Name,Group,ECV_cc,Body.Mass_g,Source.#
Eurasian jay,Garrulus glandarius,Bird,4.05,170,17
orange-winged amazon,Amazona amazonica,NA,8.29,338,18
song sparrow,Melospiza melodia,NA,1.06,21,19
swamp sparrow,Melospiza georgiana,NA,0.81,17.6,18
western scrub jay,Aphelocoma californica,NA,2.85,76,18
white carnea pigeon,Columba livia,NA,2.4,264.5,19
zebra finch,Taeniopygia guttata,NA,0.44,12,18
coyote,Canis latrans,Carnivore,85.16,10490,20
domestic dog,Canis familiaris,NA,86.96,21763,19
gray wolf,Canis lupus,NA,127.06,33110,20
Asian elephant,Elephas maximus,Elephant,4752.25,2977943.33,21
aye aye,Daubentonia madagascariensis,Primates,44.85,2555,5
black lemur,Eulemur macaco,NA,24.51,2390,5
bonobo,Pan paniscus,NA,341.29,39100,5
brown lemur,Eulemur fulvus,NA,25.77,2291.67,5
capuchin monkey,Cebus apella,NA,66.63,2935.93,5
chimpanzee,Pan troglodytes ,NA,368.35,44966.67,5
Coquerel's sifaka,Propithecus coquereli,NA,26.21,2955,5
golden monkey,Rhinopithecus roxellana,NA,117.76,14750,5
golden-headed lion tamarin,Leontopithecus chrysomelas,NA,12.83,609,5
gorilla,Gorilla gorilla,NA,490.41,120950,5
hamadryas baboon,Papio hamadryas,NA,146.17,14150,5
long-tailed macaque,Macaca fascicularis,NA,63.98,4251.05,5
marmoset,Callithrix jacchus,NA,7.24,320,5
mongoose lemur,Eulemur mongoz,NA,20.17,1212.44,5
olive baboon,Papio anubis,NA,167.42,18150,5
orangutan,Pongo pygmaeus,NA,377.38,58542.25,5
red-bellied lemur,Eulemur rubriventer,NA,26.23,1960,5
rhesus macaque,Macaca mulatta,NA,88.98,6792.77,5
ring-tailed lemur,Lemur catta,NA,22.9,2210,5
ruffed lemur,Varecia variegata ,NA,32.12,3575,5
spider monkey,Ateles geoffroyi,NA,105.09,7535,5
squirrel monkey,Saimiri sciureus,NA,24.14,799,5
stump-tailed macaque,Macaca arctoides,NA,100.7,10300,5
fox squirrel,Scurius niger,Rodent,8.72,786,"22,23"
Mongolian gerbil,Meriones unguiculatus,NA,1.13,51,"22,23"
