Common.Name,Latin.Name,Cylinder.Task,A.not.B.Task,Composite.Score
aye aye,Daubentonia madagascariensis,51,-,-
black lemur,Eulemur macaco,51,60,55.5
bonobo,Pan paniscus,95,100,97.5
brown lemur,Eulemur fulvus,43.3,-,-
capuchin monkey,Cebus apella,95.9,86.2,91.1
chimpanzee,Pan troglodytes ,100,86.7,93.3
Coquerel's sifaka,Propithecus coquereli,36.4,30,33.200000000000003
coyote,Canis latrans,95,28.6,61.8
domestic dog,Canis familiaris,79.099999999999994,89.4,84.2
Asian elephant,Elephas maximus,-,0,-
Eurasian jay,Garrulus glandarius,58.3,16.7,37.5
fox squirrel,Scurius niger,66.900000000000006,12.5,39.700000000000003
golden snub-nosed monkey,Rhinopithecus roxellana,35,55.6,45.3
golden-headed lion tamarin,Leontopithecus chrysomelas,63,-,-
gorilla,Gorilla gorilla,94.4,100,97.2
gray wolf,Canis lupus,77.3,-,-
hamadryus baboon,Papio hamadryas,67.8,63.6,65.7
long-tailed macaque,Macaca fascicularis,-,66.7,-
marmoset,Callithrix jacchus,31.9,60,46
Mongolian gerbil,Meriones unguiculatus,68.900000000000006,20,44.4
mongoose lemur,Eulemur mongoz,59,50,54.5
olive baboon,Papio anubis,76.3,100,88.1
orange-winged amazon,Amazona amazonica,50.8,10,30.4
orangutan,Pongo pygmaeus,99.1,91.7,95.4
red-bellied lemur,Eulemur rubriventer,63.8,-,-
rhesus macaque,Macaca mulatta,80,-,-
ring-tailed lemur,Lemur catta,68.099999999999994,40,54
ruffed lemur,Varecia variegata ,69.7,10,39.799999999999997
song sparrow,Melospiza melodia,26.5,-,-
spider monkey,Ateles geoffroyi,-,93.3,-
squirrel monkey,Saimiri sciureus,33.700000000000003,15.8,24.7
stump-tailed macaque,Macaca arctoides,-,57.1,-
swamp sparrow,Melospiza georgiana,26.1,-,-
western scrub jay,Aphelocoma californica,76.7,16.7,46.7
white carnea pigeon,Columba livia,32.5,54.5,43.5
zebra finch,Taeniopygia guttata,52.2,-,-
