Common.Name,Latin.Name,Percent.Fruit.in.Diet,Dietary.Breadth,Population.Group.Size,Foraging.Group.Size,Home.Range,Day.Journey.Length,D-Index,Primary.Substrate,Refs
aye aye,Daubentonia madagascariensis,NA,4,1.5,1,103,1640.8,1.43,A,"14,24"
black lemur,Eulemur macaco,64,6,9.9,9.9,5.3,NA,NA,A,"14,24,25"
bonobo,Pan paniscus,58.5,5,43.4,7.6,3475,2400,0.28,T,"14,24,26"
brown Lemur,Eulemur fulvus,73,6,8.5,8.5,47.9,549.8,1.09,A,"14,24,25"
capuchin monkey,Cebus apella,52,6,14,14,344,2110,1.28,A,"14,24,27"
chimpanzee,Pan troglodytes ,66,6,47.6,5.6,1767.3,3650,0.92,T,"14,24,27"
Coquerel's Sifaka,Propithecus coquereli,41,NA,6.1,6.1,4.7,675,2.77,A,"24,27"
golden Monkey,Rhinopithecus roxellana,29,3,132.3,14.25,2750,1500,0.25,T,"14,24,28"
golden-headed lion tamarin,Leontopithecus chrysomelas,81.5,4,6.6,6.6,36,1796,2.65,A,"14,24,29"
gorilla,Gorilla gorilla,3,6,15.8,15.8,2544.5,860.8,0.16,T,"14,24,27"
hamadryas baboon,Papio hamadryas,88,5,37.8,37.8,2800,10666.7,1.71,T,"14,24,27"
long-tailed macaque,Macaca fascicularis,66.9,5,26,26,75,1700,1.78,A,"14,24,27"
marmoset,Callithrix jacchus,22,3,8.2,8.2,8.6,757,2.37,A,"14,24,27"
mongoose lemur,Eulemur mongoz,63.25,4,3,3,1.2,610,4.94,A,"14,24,25"
olive baboon,Papio anubis,62,7,69,69,1260.5,5400,1,T,"14,24,30"
orangutan,Pongo pygmaeus,64,7,1.5,1.5,203.3,598.8,0.36,A,"14,24,27"
red-bellied lemur,Eulemur rubriventer,81,4,2.9,2.9,16.3,463.7,1.02,A,"14,24,25"
rhesus macaque,Macaca mulatta,63,7,36.8,36.8,319.7,1428,0.33,T,"14,24,27"
ring-tailed lemur,Lemur catta,54,5,15.6,15.6,15.2,956.8,3.11,T,"14,24,27"
ruffed lemur,Varecia variegata ,92,4,5.4,3.1,110.8,718,0.72,A,"14,24,31"
spider monkey,Ateles geoffroyi,79.8,5,22.7,3.9,128.7,1675,1.31,A,"14,24,27"
squirrel monkey,Saimiri sciureus,28,2,45,45,128.7,1755,2.14,A,"14,24,27"
stump-tailed macaque,Macaca arctoides,NA,6,20,20,NA,1700,NA,T,"14,24"
